OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-CA,USGS California Water Science Center,nwisca.01.00003829,Sample-Routine,Water,Surface Water,2000-06-20,15:42:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.410,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003835,Sample-Routine,Water,Surface Water,2000-07-11,13:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.320,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003840,Sample-Routine,Water,Surface Water,2000-07-25,12:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.110,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003856,Sample-Routine,Water,Surface Water,2000-08-07,12:15:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.110,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003940,Sample-Routine,Water,Surface Water,2000-08-07,16:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.160,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003953,Sample-Routine,Water,Surface Water,2000-08-07,07:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.160,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003955,Sample-Routine,Water,Surface Water,2000-08-08,07:15:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003956,Sample-Routine,Water,Surface Water,2000-08-08,11:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.130,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003958,Sample-Routine,Water,Surface Water,2000-08-08,16:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.130,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003974,Sample-Routine,Water,Surface Water,2000-08-09,10:40:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003975,Sample-Routine,Water,Surface Water,2000-08-09,14:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003989,Sample-Routine,Water,Surface Water,2000-08-09,07:15:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003865,Sample-Routine,Water,Surface Water,2000-08-22,13:35:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.130,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003873,Sample-Routine,Water,Surface Water,2000-09-12,13:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.200,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00003883,Sample-Routine,Water,Surface Water,2000-09-26,12:20:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.130,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00104604,Sample-Routine,Water,Surface Water,2000-10-17,12:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.190,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00104613,Sample-Routine,Water,Surface Water,2000-10-31,11:30:00,PST,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.100,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-CA,USGS California Water Science Center,nwisca.01.00104621,Sample-Routine,Water,Surface Water,2000-11-14,12:05:00,PST,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-415552122263101,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102680,Sample-Routine,Water,Surface Water,2001-07-02,09:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.260,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102687,Sample-Routine,Water,Surface Water,2001-07-18,09:15:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.190,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102693,Sample-Routine,Water,Surface Water,2001-08-02,14:25:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.240,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102699,Sample-Routine,Water,Surface Water,2001-08-16,09:45:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.280,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102705,Sample-Routine,Water,Surface Water,2001-09-06,11:40:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.300,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00102711,Sample-Routine,Water,Surface Water,2001-09-27,11:20:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.290,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00202972,Sample-Routine,Water,Surface Water,2001-10-11,13:10:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.300,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00202978,Sample-Routine,Water,Surface Water,2001-10-23,08:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.340,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00202984,Sample-Routine,Water,Surface Water,2001-11-15,09:15:00,PST,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.290,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00202990,Sample-Routine,Water,Surface Water,2001-11-20,12:10:00,PST,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.290,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.05,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203011,Sample-Routine,Water,Surface Water,2002-04-24,09:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.200,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203026,Sample-Routine,Water,Surface Water,2002-05-07,15:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.330,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203029,Sample-Routine,Water,Surface Water,2002-05-21,08:45:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.120,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203044,Sample-Routine,Water,Surface Water,2002-06-04,15:25:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.160,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203047,Sample-Routine,Water,Surface Water,2002-06-18,08:50:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.110,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203061,Sample-Routine,Water,Surface Water,2002-07-02,15:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.320,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203064,Sample-Routine,Water,Surface Water,2002-07-24,08:45:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.170,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203076,Sample-Routine,Water,Surface Water,2002-07-30,14:45:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.600,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203079,Sample-Routine,Water,Surface Water,2002-08-13,08:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.220,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203093,Sample-Routine,Water,Surface Water,2002-08-27,14:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Phosphorus,Total,,,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203096,Sample-Routine,Water,Surface Water,2002-09-10,08:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.190,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00203110,Sample-Routine,Water,Surface Water,2002-09-24,14:00:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.150,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00303286,Sample-Routine,Water,Surface Water,2002-10-08,09:20:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.130,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
USGS-OR,USGS Oregon Water Science Center,nwisor.01.00303299,Sample-Routine,Water,Surface Water,2002-10-22,09:30:00,PDT,,,,,,,,,,,,U.S. Bureau of Reclamation,USGS-11507501,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Phosphorus,Total,0.200,mg/l as P,,Preliminary,,Actual,,,,,,,00665,,,,,,,,,,"Basic Laboratory, Redding, California",,,Lower Reporting Limit,0.02,mg/l as P,,NWIS
